Teams_host,,Teams_guest,host,guest
Swansea,vs,Man City,2,4
Liverpool,vs,C. Palace,1,3
Burnley,vs,Stoke,0,0
Sunderland,vs,Leicester,0,0
Spurs,vs,Hull City,2,0
West Ham,vs,Everton,1,2
Arsenal,vs,Swansea,0,1
Chelsea,vs,Liverpool,1,1
C. Palace,vs,Man Utd,1,2
Hull City,vs,Burnley,0,1
Leicester,vs,S'hampton,2,0
Stoke,vs,Spurs,3,0
Everton,vs,Sunderland,0,2
Hull City,vs,Arsenal,1,3
Spurs,vs,Man City,0,1
Chelsea,vs,C. Palace,1,0
Man Utd,vs,WBA,0,1
Sunderland,vs,S'hampton,2,1
Swansea,vs,Stoke,2,0
West Ham,vs,Burnley,1,0
Leicester,vs,Chelsea,1,3
Hull City,vs,Liverpool,1,0
Arsenal,vs,Chelsea,0,0
Everton,vs,Man Utd,3,0
Burnley,vs,Leicester,0,1
C. Palace,vs,Hull City,0,2
Stoke,vs,Sunderland,1,1
WBA,vs,Liverpool,0,0
S'hampton,vs,Spurs,2,2
Man City,vs,West Ham,2,0
Chelsea,vs,Man Utd,1,0
C. Palace,vs,WBA,0,2
Everton,vs,Burnley,1,0
Leicester,vs,Swansea,2,0
Stoke,vs,S'hampton,2,1
Man Utd,vs,Man City,4,2
Burnley,vs,Arsenal,0,1
S'hampton,vs,Hull City,2,0
Sunderland,vs,C. Palace,1,4
WBA,vs,Leicester,2,3
West Ham,vs,Stoke,1,1
Swansea,vs,Everton,1,1
C. Palace,vs,Man City,2,1
Burnley,vs,Spurs,0,0
Chelsea,vs,Stoke,2,1
Everton,vs,S'hampton,1,0
Leicester,vs,West Ham,2,1
Swansea,vs,Hull City,3,1
Arsenal,vs,Liverpool,4,1
Hull City,vs,Chelsea,2,3
Liverpool,vs,Man Utd,1,2
West Ham,vs,Sunderland,1,0
S'hampton,vs,Burnley,2,0
Stoke,vs,C. Palace,1,2
Spurs,vs,Leicester,4,3
Man City,vs,WBA,3,0
Swansea,vs,Liverpool,0,1
Man Utd,vs,Spurs,3,0
Chelsea,vs,S'hampton,1,1
Burnley,vs,Man City,1,0
Arsenal,vs,West Ham,3,0
Leicester,vs,Hull City,0,0
WBA,vs,Stoke,1,0
Liverpool,vs,Burnley,2,0
West Ham,vs,Chelsea,0,1
Man City,vs,Leicester,2,0
Stoke,vs,Everton,2,0
Spurs,vs,Swansea,3,2
Hull City,vs,Sunderland,1,1
S'hampton,vs,C. Palace,1,0
Arsenal,vs,Everton,2,0
Liverpool,vs,Man City,2,1
Burnley,vs,Swansea,0,1
Man Utd,vs,Sunderland,2,0
Stoke,vs,Hull City,1,0
WBA,vs,S'hampton,1,0
West Ham,vs,C. Palace,1,3
S'hampton,vs,Liverpool,0,2
Everton,vs,Leicester,2,2
Spurs,vs,West Ham,2,2
Chelsea,vs,Burnley,1,1
C. Palace,vs,Arsenal,1,2
Sunderland,vs,WBA,0,0
Swansea,vs,Man Utd,2,1
WBA,vs,Swansea,2,0
Man Utd,vs,Burnley,3,1
S'hampton,vs,West Ham,0,0
Chelsea,vs,Everton,1,0
Stoke,vs,Man City,1,4
Liverpool,vs,Spurs,3,2
Arsenal,vs,Leicester,2,1
West Ham,vs,Man Utd,1,1
Burnley,vs,WBA,2,2
Everton,vs,Liverpool,0,0
Leicester,vs,C. Palace,0,1
Man City,vs,Hull City,1,1
Swansea,vs,Sunderland,1,1
Spurs,vs,Arsenal,2,1
S'hampton,vs,Swansea,0,1
Chelsea,vs,Man City,1,1
C. Palace,vs,Everton,0,1
Liverpool,vs,West Ham,2,0
Man Utd,vs,Leicester,3,1
Sunderland,vs,Burnley,2,0
WBA,vs,Spurs,0,3
Everton,vs,WBA,0,0
Man City,vs,Arsenal,0,2
West Ham,vs,Hull City,3,0
Burnley,vs,C. Palace,2,3
Leicester,vs,Stoke,0,1
Swansea,vs,Chelsea,0,5
Spurs,vs,Sunderland,2,1
Man Utd,vs,S'hampton,0,1
Arsenal,vs,Stoke,3,0
C. Palace,vs,Spurs,2,1
Everton,vs,Man City,1,1
Swansea,vs,West Ham,1,1
WBA,vs,Hull City,1,0
Sunderland,vs,Liverpool,0,1
Spurs,vs,Chelsea,5,3
Hull City,vs,Everton,2,0
Liverpool,vs,Leicester,2,2
Man City,vs,Sunderland,3,2
S'hampton,vs,Arsenal,2,0
West Ham,vs,WBA,1,1
Stoke,vs,Man Utd,1,1
Liverpool,vs,Swansea,4,1
Hull City,vs,Leicester,0,1
Man City,vs,Burnley,2,2
Stoke,vs,WBA,2,0
West Ham,vs,Arsenal,1,2
S'hampton,vs,Chelsea,1,1
Spurs,vs,Man Utd,0,0
Burnley,vs,Liverpool,0,1
C. Palace,vs,S'hampton,1,3
Everton,vs,Stoke,0,1
Leicester,vs,Spurs,1,2
Sunderland,vs,Hull City,1,3
WBA,vs,Man City,1,3
Chelsea,vs,West Ham,2,0
Stoke,vs,Chelsea,0,2
Liverpool,vs,Arsenal,2,2
Hull City,vs,Swansea,0,1
S'hampton,vs,Everton,3,0
Spurs,vs,Burnley,2,1
West Ham,vs,Leicester,2,0
Man City,vs,C. Palace,3,0
Swansea,vs,Spurs,1,2
Man Utd,vs,Liverpool,3,0
Burnley,vs,S'hampton,1,0
Chelsea,vs,Hull City,2,0
C. Palace,vs,Stoke,1,1
Leicester,vs,Man City,0,1
Sunderland,vs,West Ham,1,1
S'hampton,vs,Man Utd,1,2
West Ham,vs,Swansea,3,1
Man City,vs,Everton,1,0
Hull City,vs,WBA,0,0
Liverpool,vs,Sunderland,0,0
Stoke,vs,Arsenal,3,2
Spurs,vs,C. Palace,0,0
Arsenal,vs,S'hampton,1,0
Chelsea,vs,Spurs,3,0
Everton,vs,Hull City,1,1
Sunderland,vs,Man City,1,4
WBA,vs,West Ham,1,2
Leicester,vs,Liverpool,1,3
Man Utd,vs,Stoke,2,1
Spurs,vs,Everton,2,1
S'hampton,vs,Man City,0,3
Sunderland,vs,Chelsea,0,0
Liverpool,vs,Stoke,1,0
Man Utd,vs,Hull City,3,0
Swansea,vs,C. Palace,1,1
WBA,vs,Arsenal,0,1
Hull City,vs,Spurs,1,2
C. Palace,vs,Liverpool,3,1
Arsenal,vs,Man Utd,1,2
Chelsea,vs,WBA,2,0
Everton,vs,West Ham,2,1
Leicester,vs,Sunderland,0,0
Man City,vs,Swansea,2,1
Stoke,vs,Burnley,1,2
Swansea,vs,Arsenal,2,1
Sunderland,vs,Everton,1,1
Spurs,vs,Stoke,1,2
Burnley,vs,Hull City,1,0
Man Utd,vs,C. Palace,1,0
S'hampton,vs,Leicester,2,0
Liverpool,vs,Chelsea,1,2
C. Palace,vs,Sunderland,1,3
Man City,vs,Man Utd,1,0
Arsenal,vs,Burnley,3,0
Everton,vs,Swansea,0,0
Hull City,vs,S'hampton,0,1
Leicester,vs,WBA,0,1
Stoke,vs,West Ham,2,2
Man Utd,vs,Chelsea,1,1
Burnley,vs,Everton,1,3
Swansea,vs,Leicester,2,0
Liverpool,vs,Hull City,0,0
S'hampton,vs,Stoke,1,0
Sunderland,vs,Arsenal,0,2
WBA,vs,C. Palace,2,2
West Ham,vs,Man City,2,1
WBA,vs,Man Utd,2,2
Stoke,vs,Swansea,2,1
Arsenal,vs,Hull City,2,2
Burnley,vs,West Ham,1,3
C. Palace,vs,Chelsea,1,2
S'hampton,vs,Sunderland,8,0
Man City,vs,Spurs,4,1
Chelsea,vs,Arsenal,2,0
Spurs,vs,S'hampton,1,0
Man Utd,vs,Everton,2,1
Hull City,vs,C. Palace,2,0
Leicester,vs,Burnley,2,2
Liverpool,vs,WBA,2,1
Sunderland,vs,Stoke,3,1
WBA,vs,Burnley,4,0
Arsenal,vs,Spurs,1,1
C. Palace,vs,Leicester,2,0
Hull City,vs,Man City,2,4
Man Utd,vs,West Ham,2,1
Sunderland,vs,Swansea,0,0
Liverpool,vs,Everton,1,1
Everton,vs,C. Palace,2,3
Man City,vs,Chelsea,1,1
Leicester,vs,Man Utd,5,3
Spurs,vs,WBA,0,1
West Ham,vs,Liverpool,3,1
Burnley,vs,Sunderland,0,0
Swansea,vs,S'hampton,0,1
Hull City,vs,West Ham,2,2
Chelsea,vs,Swansea,4,2
C. Palace,vs,Burnley,0,0
Stoke,vs,Leicester,0,1
Sunderland,vs,Spurs,2,2
WBA,vs,Everton,0,2
Arsenal,vs,Man City,2,2
Leicester,vs,Arsenal,1,1
Spurs,vs,Liverpool,0,3
Everton,vs,Chelsea,3,6
Man City,vs,Stoke,0,1
Swansea,vs,WBA,3,0
West Ham,vs,S'hampton,1,3
Burnley,vs,Man Utd,0,0
Man City,vs,Liverpool,3,1
Sunderland,vs,Man Utd,1,1
Hull City,vs,Stoke,1,1
Everton,vs,Arsenal,2,2
Chelsea,vs,Leicester,2,0
C. Palace,vs,West Ham,1,3
S'hampton,vs,WBA,0,0
Swansea,vs,Burnley,1,0
Burnley,vs,Chelsea,1,3
Liverpool,vs,S'hampton,2,1
Arsenal,vs,C. Palace,2,1
Leicester,vs,Everton,2,2
WBA,vs,Sunderland,2,2
West Ham,vs,Spurs,0,1
Man Utd,vs,Swansea,1,2
Arsenal,vs,Everton,3,1
Burnley,vs,West Ham,1,2
Chelsea,vs,Sunderland,5,1
Hull City,vs,Spurs,1,7
Leicester,vs,B'mouth,1,1
Liverpool,vs,M'brough,3,0
Man Utd,vs,C. Palace,2,0
S'hampton,vs,Stoke,0,1
Swansea,vs,WBA,2,1
Watford,vs,Man City,0,5
Leicester,vs,Spurs,1,6
S'hampton,vs,Man Utd,0,0
Man City,vs,WBA,3,1
Arsenal,vs,Sunderland,2,0
Chelsea,vs,Watford,4,3
Spurs,vs,Man Utd,2,1
West Ham,vs,Liverpool,0,4
C. Palace,vs,Hull City,4,0
Stoke,vs,Arsenal,1,4
B'mouth,vs,Burnley,2,1
M'brough,vs,S'hampton,1,2
Sunderland,vs,Swansea,0,2
Man City,vs,Leicester,2,1
WBA,vs,Chelsea,0,1
Everton,vs,Watford,1,0
S'hampton,vs,Arsenal,0,2
Chelsea,vs,M'brough,3,0
Arsenal,vs,Man Utd,2,0
Liverpool,vs,S'hampton,0,0
Swansea,vs,Everton,1,0
B'mouth,vs,Stoke,2,2
Burnley,vs,WBA,2,2
Hull City,vs,Sunderland,0,2
Leicester,vs,Watford,3,0
Man City,vs,C. Palace,5,0
West Ham,vs,Spurs,,0
Watford,vs,Liverpool,0,1
Spurs,vs,Arsenal,2,0
Everton,vs,Chelsea,0,3
M'brough,vs,Man City,2,2
Man Utd,vs,Swansea,1,1
C. Palace,vs,Burnley,0,2
S'hampton,vs,Hull City,0,2
Stoke,vs,West Ham,0,0
Sunderland,vs,B'mouth,0,1
WBA,vs,Leicester,0,1
Man City,vs,Man Utd,0,0
C. Palace,vs,Spurs,0,1
Arsenal,vs,Leicester,1,0
M'brough,vs,Sunderland,1,0
Chelsea,vs,S'hampton,4,2
Liverpool,vs,C. Palace,1,2
Burnley,vs,Man Utd,0,2
B'mouth,vs,M'brough,3,0
Hull City,vs,Watford,2,0
Swansea,vs,Stoke,2,0
West Ham,vs,Everton,0,0
M'brough,vs,Arsenal,1,2
Man Utd,vs,Chelsea,2,0
WBA,vs,Liverpool,0,1
S'hampton,vs,Man City,0,3
C. Palace,vs,Leicester,2,2
Everton,vs,Burnley,3,1
Stoke,vs,Hull City,3,1
Sunderland,vs,West Ham,2,2
Watford,vs,Swansea,1,0
Spurs,vs,B'mouth,4,0
C. Palace,vs,Arsenal,3,0
Everton,vs,Leicester,4,2
Sunderland,vs,Man Utd,0,3
B'mouth,vs,Chelsea,1,3
Man City,vs,Hull City,3,1
M'brough,vs,Burnley,0,0
Stoke,vs,Liverpool,1,2
WBA,vs,S'hampton,0,1
West Ham,vs,Swansea,1,0
Spurs,vs,Watford,4,0
Chelsea,vs,Man City,2,1
Liverpool,vs,B'mouth,2,2
Arsenal,vs,West Ham,3,0
Hull City,vs,M'brough,4,2
Swansea,vs,Spurs,1,3
S'hampton,vs,C. Palace,3,1
Man Utd,vs,Everton,1,1
Burnley,vs,Stoke,1,0
Leicester,vs,Sunderland,2,0
Watford,vs,WBA,2,0
Arsenal,vs,Man City,2,2
Swansea,vs,M'brough,0,0
S'hampton,vs,B'mouth,0,0
Burnley,vs,Spurs,0,2
Chelsea,vs,C. Palace,1,2
Hull City,vs,West Ham,2,1
Leicester,vs,Stoke,2,0
Man Utd,vs,WBA,0,0
Watford,vs,Sunderland,1,0
Liverpool,vs,Everton,3,1
Man City,vs,Liverpool,1,1
Spurs,vs,S'hampton,2,1
M'brough,vs,Man Utd,1,3
B'mouth,vs,Swansea,2,0
C. Palace,vs,Watford,1,0
Everton,vs,Hull City,4,0
Stoke,vs,Chelsea,1,2
Sunderland,vs,Burnley,0,0
West Ham,vs,Leicester,2,3
WBA,vs,Arsenal,3,1
Liverpool,vs,Burnley,2,1
B'mouth,vs,West Ham,3,2
Everton,vs,WBA,3,0
Hull City,vs,Swansea,2,1
Man City,vs,Stoke,0,0
West Ham,vs,Chelsea,1,2
Sunderland,vs,Man City,0,2
Spurs,vs,Everton,3,2
Liverpool,vs,Arsenal,3,1
Leicester,vs,Hull City,3,1
Stoke,vs,M'brough,2,0
Swansea,vs,Burnley,3,2
Watford,vs,S'hampton,3,4
WBA,vs,C. Palace,0,2
Man Utd,vs,B'mouth,1,1
Leicester,vs,Liverpool,3,1
Spurs,vs,Stoke,4,0
Watford,vs,West Ham,1,1
Chelsea,vs,Swansea,3,1
C. Palace,vs,M'brough,1,0
Everton,vs,Sunderland,2,0
Hull City,vs,Burnley,1,1
WBA,vs,B'mouth,2,1
B'mouth,vs,Man City,0,2
Swansea,vs,Leicester,2,0
Burnley,vs,Chelsea,1,1
Liverpool,vs,Spurs,2,0
Man Utd,vs,Watford,2,0
M'brough,vs,Everton,0,0
Stoke,vs,C. Palace,1,0
Sunderland,vs,S'hampton,0,4
West Ham,vs,WBA,2,2
Arsenal,vs,Hull City,2,0
Leicester,vs,Man Utd,0,3
Man City,vs,Swansea,2,1
Spurs,vs,M'brough,1,0
C. Palace,vs,Sunderland,0,4
Everton,vs,B'mouth,6,3
Hull City,vs,Liverpool,2,0
S'hampton,vs,West Ham,1,3
Watford,vs,Burnley,2,1
WBA,vs,Stoke,1,0
Chelsea,vs,Arsenal,3,1
Man Utd,vs,Hull City,0,0
Stoke,vs,Everton,1,1
West Ham,vs,Man City,0,4
Liverpool,vs,Chelsea,1,1
Arsenal,vs,Watford,1,2
B'mouth,vs,C. Palace,0,2
Burnley,vs,Leicester,1,0
M'brough,vs,WBA,1,1
Sunderland,vs,Spurs,0,0
Swansea,vs,S'hampton,2,1
Chelsea,vs,Hull City,2,0
Arsenal,vs,Burnley,2,1
S'hampton,vs,Leicester,3,0
Man City,vs,Spurs,2,2
B'mouth,vs,Watford,2,2
C. Palace,vs,Everton,0,1
M'brough,vs,West Ham,1,3
Stoke,vs,Man Utd,1,1
WBA,vs,Sunderland,2,0
Liverpool,vs,Swansea,2,3
Man Utd,vs,Liverpool,1,1
Everton,vs,Man City,3,0
Leicester,vs,Chelsea,0,3
Burnley,vs,S'hampton,1,0
Hull City,vs,B'mouth,3,1
Sunderland,vs,Stoke,1,3
Swansea,vs,Arsenal,0,4
Watford,vs,M'brough,0,0
West Ham,vs,C. Palace,3,0
Spurs,vs,WBA,4,0
Spurs,vs,Chelsea,2,0
C. Palace,vs,Swansea,1,2
Stoke,vs,Watford,2,0
B'mouth,vs,Arsenal,3,3
West Ham,vs,Man Utd,0,2
Everton,vs,S'hampton,3,0
Man City,vs,Burnley,2,1
Sunderland,vs,Liverpool,2,2
WBA,vs,Hull City,3,1
M'brough,vs,Leicester,0,0
Arsenal,vs,C. Palace,2,0
Watford,vs,Spurs,1,3
Liverpool,vs,Man City,1,0
Burnley,vs,Sunderland,4,1
Chelsea,vs,Stoke,4,2
Leicester,vs,West Ham,1,0
Man Utd,vs,M'brough,2,1
S'hampton,vs,WBA,1,2
Swansea,vs,B'mouth,0,3
Hull City,vs,Everton,2,2
S'hampton,vs,Spurs,1,4
Liverpool,vs,Stoke,4,1
Hull City,vs,Man City,0,3
Arsenal,vs,WBA,1,0
Burnley,vs,M'brough,1,0
Chelsea,vs,B'mouth,3,0
Leicester,vs,Everton,0,2
Man Utd,vs,Sunderland,3,1
Swansea,vs,West Ham,1,4
Watford,vs,C. Palace,1,1
Everton,vs,Liverpool,0,1
Man City,vs,Arsenal,2,1
Spurs,vs,Burnley,2,1
B'mouth,vs,S'hampton,1,3
WBA,vs,Man Utd,0,2
M'brough,vs,Swansea,3,0
Stoke,vs,Leicester,2,2
Sunderland,vs,Watford,1,0
West Ham,vs,Hull City,1,0
C. Palace,vs,Chelsea,0,1
WBA,vs,Swansea,3,1
C. Palace,vs,Man Utd,1,2
Man City,vs,Watford,2,0
Stoke,vs,S'hampton,0,0
Spurs,vs,Hull City,3,0
Sunderland,vs,Chelsea,0,1
West Ham,vs,Burnley,1,0
M'brough,vs,Liverpool,0,3
B'mouth,vs,Leicester,1,0
Everton,vs,Arsenal,2,1
Liverpool,vs,West Ham,2,2
Man Utd,vs,Spurs,1,0
S'hampton,vs,M'brough,1,0
Chelsea,vs,WBA,1,0
Leicester,vs,Man City,4,2
Arsenal,vs,Stoke,3,1
Burnley,vs,B'mouth,3,2
Hull City,vs,C. Palace,3,3
Swansea,vs,Sunderland,3,0
Watford,vs,Everton,3,2
M'brough,vs,Hull City,1,0
Everton,vs,Man Utd,1,1
B'mouth,vs,Liverpool,4,3
West Ham,vs,Arsenal,1,5
C. Palace,vs,S'hampton,3,0
Stoke,vs,Burnley,2,0
Sunderland,vs,Leicester,2,1
Spurs,vs,Swansea,5,0
WBA,vs,Watford,3,1
Man City,vs,Chelsea,1,3
Man Utd,vs,West Ham,1,1
S'hampton,vs,Everton,1,0
Arsenal,vs,B'mouth,3,1
Watford,vs,Stoke,0,1
Chelsea,vs,Spurs,2,1
Hull City,vs,WBA,1,1
Leicester,vs,M'brough,2,1
Liverpool,vs,Sunderland,2,0
Swansea,vs,C. Palace,5,4
Burnley,vs,Man City,1,2
WBA,vs,Burnley,4,0
M'brough,vs,Chelsea,0,1
Spurs,vs,West Ham,3,2
C. Palace,vs,Man City,1,2
Everton,vs,Swansea,1,1
S'hampton,vs,Liverpool,0,0
Stoke,vs,B'mouth,0,1
Sunderland,vs,Hull City,3,0
Watford,vs,Leicester,2,1
Man Utd,vs,Arsenal,1,1
Leicester,vs,WBA,1,2
Swansea,vs,Man Utd,1,3
Hull City,vs,S'hampton,2,1
Liverpool,vs,Watford,6,1
Arsenal,vs,Spurs,1,1
Chelsea,vs,Everton,5,0
B'mouth,vs,Sunderland,1,2
Burnley,vs,C. Palace,3,2
Man City,vs,M'brough,1,1
West Ham,vs,Stoke,1,1
Stoke,vs,Swansea,3,1
S'hampton,vs,Chelsea,0,2
Everton,vs,West Ham,2,0
C. Palace,vs,Liverpool,2,4
Man Utd,vs,Burnley,0,0
M'brough,vs,B'mouth,2,0
Spurs,vs,Leicester,1,1
Watford,vs,Hull City,1,0
WBA,vs,Man City,0,4
Sunderland,vs,Arsenal,1,4
Chelsea,vs,Man Utd,4,0
Man City,vs,S'hampton,1,1
Liverpool,vs,WBA,2,1
Arsenal,vs,M'brough,0,0
Burnley,vs,Everton,2,1
Hull City,vs,Stoke,0,2
Leicester,vs,C. Palace,3,1
Swansea,vs,Watford,0,0
West Ham,vs,Sunderland,1,0
B'mouth,vs,Spurs,0,0
Liverpool,vs,Man Utd,0,0
S'hampton,vs,Burnley,3,1
M'brough,vs,Watford,0,1
C. Palace,vs,West Ham,0,1
Arsenal,vs,Swansea,3,2
B'mouth,vs,Hull City,6,1
Man City,vs,Everton,1,1
Stoke,vs,Sunderland,2,0
WBA,vs,Spurs,1,1
Chelsea,vs,Leicester,3,0
Burnley,vs,Arsenal,0,1
Leicester,vs,S'hampton,0,0
Spurs,vs,Man City,2,0
Man Utd,vs,Stoke,1,1
Hull City,vs,Chelsea,0,2
Sunderland,vs,WBA,1,1
Watford,vs,B'mouth,2,2
West Ham,vs,M'brough,1,1
Swansea,vs,Liverpool,1,2
Everton,vs,C. Palace,1,1
Burnley,vs,Watford,2,0
West Ham,vs,S'hampton,0,3
Arsenal,vs,Chelsea,3,0
B'mouth,vs,Everton,1,0
Liverpool,vs,Hull City,5,1
M'brough,vs,Spurs,1,2
Stoke,vs,WBA,1,1
Sunderland,vs,C. Palace,2,3
Swansea,vs,Man City,1,3
Man Utd,vs,Leicester,4,1
Spurs,vs,Sunderland,1,0
C. Palace,vs,Stoke,4,1
S'hampton,vs,Swansea,1,0
Watford,vs,Man Utd,3,1
Everton,vs,M'brough,3,1
Hull City,vs,Arsenal,1,4
Leicester,vs,Burnley,3,0
Man City,vs,B'mouth,4,0
WBA,vs,West Ham,4,2
Chelsea,vs,Liverpool,1,2
Sunderland,vs,Everton,0,3
Swansea,vs,Chelsea,2,2
Liverpool,vs,Leicester,4,1
Arsenal,vs,S'hampton,2,1
B'mouth,vs,WBA,1,0
Burnley,vs,Hull City,1,1
M'brough,vs,C. Palace,1,2
Stoke,vs,Spurs,0,4
West Ham,vs,Watford,2,4
Man Utd,vs,Man City,1,2
Man City,vs,West Ham,3,1
WBA,vs,M'brough,0,0
Hull City,vs,Man Utd,0,1
Chelsea,vs,Burnley,3,0
C. Palace,vs,B'mouth,1,1
Everton,vs,Stoke,1,0
Leicester,vs,Swansea,2,1
S'hampton,vs,Sunderland,1,1
Watford,vs,Arsenal,1,3
Spurs,vs,Liverpool,1,1
West Ham,vs,B'mouth,1,0
Sunderland,vs,M'brough,1,2
Leicester,vs,Arsenal,0,0
Burnley,vs,Liverpool,2,0
Swansea,vs,Hull City,0,2
Spurs,vs,C. Palace,1,0
Watford,vs,Chelsea,1,2
WBA,vs,Everton,1,2
Stoke,vs,Man City,1,4
Man Utd,vs,S'hampton,2,0
Chelsea,vs,West Ham,2,1
Arsenal,vs,Liverpool,3,4
B'mouth,vs,Man Utd,1,3
Man City,vs,Sunderland,2,1
Burnley,vs,Swansea,0,1
C. Palace,vs,WBA,0,1
Everton,vs,Spurs,1,1
M'brough,vs,Stoke,1,1
S'hampton,vs,Watford,1,1
Hull City,vs,Leicester,2,1