,score,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
Arsenal,76.27048697,2.96969697,2.666666667,68.45454545,65.24242424,48.90909091,50.27272727,52.24242424,62.27272727,73.90909091,60.24242424,53.3030303,65.12121212,67.42424242,58.33333333,69.39393939,62.03030303,70.45454545,70.78787879,69.36363636,69.45454545,66.6969697,67.66666667,66.42424242,58.78787879,65.03030303,54.06060606,55.51515152,55.21212121,50.33333333,58.84848485,51.21212121,85,83,77,90,85
Chelsea,73.74763584,3.212121212,2.545454545,64.18181818,59.51515152,48.66666667,51.48484848,53.3030303,55.09090909,70.24242424,53.33333333,53.27272727,58.09090909,63.63636364,53.42424242,62.75757576,58,69.87878788,69.72727273,66.48484848,68.81818182,65,65.51515152,65.12121212,55.42424242,60.12121212,50.3030303,52.24242424,51.3030303,46.24242424,55.24242424,47.45454545,86,84,69,91,89
Middlesbrough,69.32117576,3.060606061,2.272727273,61.12121212,56.09090909,48.66666667,50.51515152,53,60.36363636,64.45454545,52.24242424,51.84848485,53.39393939,58.93939394,50.42424242,60.36363636,54.3030303,66.90909091,67.42424242,65.96969697,67.3030303,64,62.60606061,66.81818182,56.51515152,56.93939394,47.09090909,48.03030303,47.96969697,44.21212121,51.51515152,45.63636364,84,81,75,78,83
Bournemouth,68.30440081,2.939393939,2.333333333,57.63636364,55.6969697,42.33333333,43.93939394,46.60606061,55.42424242,62.3030303,48.84848485,46.78787879,53.48484848,58.84848485,50.03030303,57.15151515,50.3030303,67.27272727,66.21212121,64.45454545,65.81818182,65.3030303,63.72727273,64.36363636,48.18181818,51.96969697,44.63636364,46.12121212,45.6969697,43.63636364,48.81818182,39.87878788,74,75,62,72,82
Burnley,72.10556865,2.996201657,2.459191361,63.61446126,60.11342186,48.41551217,49.93743199,52.03606856,60.78154299,67.87639342,54.1759515,50.42875753,58.32037049,64.12865883,54.01484807,63.33170796,57.25587017,68.3374578,68.74349678,66.93144846,67.84036498,64.95423329,65.14938927,67.41355544,57.20103312,61.11360148,50.44937113,52.1229212,51.68275818,46.3924082,54.12516568,48.2994081,79,79,74,77,80
Crystal Palace,73.20161928,2.848484848,2.484848485,63.84848485,59.33333333,49.57575758,49.12121212,51.27272727,62.87878788,68.48484848,56.21212121,50.57575758,59.51515152,65.15151515,57.27272727,62.96969697,57.66666667,69.18181818,69.60606061,67.90909091,70.75757576,65.18181818,67.18181818,69.06060606,59.72727273,62.45454545,51.72727273,54.18181818,51.78787879,49.81818182,55.60606061,47.36363636,76,74,82,76,74
Everton,72.13769879,3.151515152,2.454545455,65.6969697,63,50.39393939,51.96969697,54.06060606,61.90909091,68.06060606,54.39393939,50.3030303,56.90909091,64.03030303,53.87878788,64.81818182,57.45454545,69.33333333,69.81818182,68.09090909,67.87878788,66.72727273,64.81818182,68.21212121,58.06060606,62.27272727,50.6969697,53,50.57575758,47,54.90909091,47.54545455,75,78,75,75,77
Hull City,70.90059183,3.090909091,2.393939394,64.12121212,59.48484848,46.18181818,46.12121212,49.84848485,60.42424242,66.03030303,56.24242424,51.42424242,59.21212121,65.12121212,52.09090909,63.27272727,55.45454545,66.09090909,67.42424242,65.60606061,68.12121212,63.3030303,63.33333333,67.03030303,59.75757576,61.87878788,51.78787879,53.21212121,50.03030303,44.84848485,54.15151515,49.33333333,69,69,65,70,73
Leicester City,71.04405734,2.894348894,2.334971335,58.5978706,54.68877969,47.22113022,48.003276,50.91482391,61.06552007,67.51433251,51.08763309,50.41687142,54.84357084,60.13841114,49.19164619,57.95331695,52.63390663,65.08353808,66.36281736,66.0974611,68.40868141,63.41359541,61.30630631,67.000819,56.64209664,58.45618346,45.77805078,48.35708436,46.97379197,42.59049959,50.08517609,47.63063063,80,83,86,80,85
Liverpool,73.67635227,3.181818182,2.666666667,66.54545455,64.60606061,50.18181818,53.81818182,54.84848485,61.96969697,69.75757576,57.90909091,51.24242424,61.90909091,66.15151515,56.78787879,68.57575758,62.81818182,72.87878788,72.54545455,69.36363636,69.3030303,67.54545455,67.6969697,68.12121212,58.12121212,64.18181818,54.27272727,54.45454545,54.3030303,46.06060606,55.51515152,50.24242424,73,80,65,74,84
Manchester City,75.61054755,3.060606061,2.787878788,69.84848485,66.81818182,45.75757576,47.54545455,49.66666667,59.3030303,72.06060606,60.42424242,49.36363636,64.72727273,70.06060606,59.09090909,68.18181818,62.96969697,74.90909091,74.27272727,70.27272727,65.60606061,71.81818182,73.51515152,67.87878788,55.48484848,64.84848485,55.75757576,58.39393939,61.48484848,52.84848485,57.60606061,52.6969697,,,,,
Manchester Utd,76.09356819,3.151515152,2.636363636,67.06060606,63.93939394,52.72727273,54.36363636,56.66666667,63.75757576,74.06060606,58.03030303,55.81818182,63.03030303,68.57575758,57.18181818,68.27272727,61.63636364,71.75757576,70.84848485,69.81818182,69.6969697,66.78787879,67.90909091,69.63636364,61.54545455,63.36363636,53.33333333,54.54545455,56.66666667,48.51515152,56.72727273,54.75757576,82,84,79,80,85
Southampton,71.33322533,2.94420407,2.406776975,62.37625602,58.61600181,47.70211265,49.66550574,51.49262235,60.30131466,66.97947176,52.69492519,49.37643036,57.00199299,62.76156175,52.6791001,62.17888614,55.96943546,66.63406951,67.3510484,65.40961392,67.25871688,63.12969523,63.51120911,66.77703816,56.66594554,60.62883543,49.55702818,50.8317009,50.21825076,45.03886934,53.64712105,46.83746592,78,74,69,80,83
Stoke City,71.23937424,2.90050813,2.394419808,62.25950203,58.6575619,47.80895233,50.00810698,51.80196785,60.18188747,66.83977735,52.26605691,49.33287602,57.00779287,62.28358278,52.70510902,61.8622136,55.9574187,67.16761364,67.77172487,65.45404656,67.25831486,62.97840447,63.31809405,66.77450111,56.77476903,60.62034368,49.11474963,50.6475425,49.96472191,44.86142831,53.07506929,46.52418237,69,71,69,61,70
Sunderland,71.55797221,3.121212121,2.333333333,63.66666667,61.66666667,49.93939394,50.75757576,52.39393939,62.6969697,67.66666667,53,50.09090909,60.03030303,63.18181818,54.6969697,64.60606061,59.21212121,66.81818182,66.90909091,63.96969697,67.24242424,63.21212121,61.87878788,63.75757576,57.24242424,61.51515152,50.93939394,51.42424242,52.06060606,47.39393939,53.78787879,48.81818182,73,74,85,76,78
Swansea City,71.45910014,2.818181818,2.484848485,62.87878788,59,45.72727273,48.66666667,50.63636364,56.21212121,66.72727273,53.54545455,47.42424242,57.48484848,63.63636364,50.93939394,63.06060606,54.93939394,65.90909091,66.93939394,64.87878788,69.03030303,61.15151515,64.39393939,67.48484848,56.15151515,59.24242424,50.93939394,48.66666667,49.63636364,42.24242424,52.3030303,47.27272727,78,77,70,84,84
Spurs,72.74880042,2.96969697,2.454545455,62.51515152,59.93939394,47.87878788,48.66666667,51.63636364,58.24242424,69.06060606,53.78787879,49.45454545,59.12121212,63.54545455,55.36363636,64.45454545,57.48484848,69.18181818,69.96969697,67.24242424,63.66666667,65.42424242,65.90909091,66.09090909,54.51515152,60.81818182,48.3030303,52.24242424,52.90909091,49.51515152,52.18181818,47.3030303,82,87,68,87,90
Watford,71.06920611,2.696969697,2.363636364,61.51515152,57.36363636,48.87878788,51.51515152,53.03030303,63.57575758,66.81818182,53.63636364,50.90909091,54.42424242,62.15151515,52.96969697,60.15151515,53.81818182,67.75757576,69.21212121,65.87878788,69.57575758,62.54545455,63.18181818,67.75757576,57.78787879,60.42424242,48.15151515,52.39393939,48.75757576,44.33333333,53.15151515,46.18181818,75,83,60,73,84
West Ham,72.94828896,2.848484848,2.484848485,65.60606061,61.63636364,47.27272727,49.66666667,51.03030303,64.36363636,68.06060606,54.51515152,49.78787879,58.33333333,63.66666667,54.21212121,61.57575758,57.93939394,70.48484848,70.84848485,69,70.6969697,64.45454545,68.54545455,70.42424242,59.90909091,65.12121212,52.03030303,54.57575758,50.96969697,46.03030303,54.12121212,48.39393939,71,78,73,71,79
West Brom,67.9152977,2.9375,2.25,57.53125,52.40625,47.5625,50.84375,52.3125,56.46875,63.09375,44.875,48.90625,52.71875,57.4375,48.0625,56.875,51.9375,62.90625,62.71875,62.625,63.5,60.90625,55.90625,65.5,55.3125,56.625,44.28125,44.625,45.34375,39.5625,52.84375,41.09375,77,79,73,79,84